round,main_accuracy,main_loss,attack_success_rate,is_attack_active,bottleneck_distance,bottleneck_threshold
1,0.08915281076801267,3.509174427986145,0.0,0,,
2,0.09398258115597784,3.4862058210372924,0.0,0,,
3,0.0939034045922407,3.42668354511261,0.0,0,,
4,0.12193190815518606,3.3945724773406982,0.0,0,,
5,0.15463182897862232,3.348124189376831,0.0,0,,
6,0.18677751385589866,3.249098334312439,0.0,0,,
7,0.24109263657957244,3.123358507156372,0.0,0,,
8,0.26357878068091845,2.915609622001648,0.0,0,,
9,0.3008709422011085,2.7321788263320923,0.0,0,,
10,0.32961203483768803,2.5348008394241335,0.0,0,,
11,0.3779889152810768,2.3844724702835083,0.0,0,,
12,0.40482977038796514,2.2274976491928102,0.0,0,,
13,0.41203483768804433,2.128713433742523,0.0,0,,
14,0.41068883610451307,2.0561488175392153,0.0,0,,
15,0.4773555027711797,1.9041009211540223,0.0,0,,
16,0.5078384798099762,1.7866493940353394,0.0,0,,
17,0.5064924782264449,1.7683754611015319,0.0,0,,
18,0.5160728424386382,1.6544690561294555,0.0,0,,
19,0.5585906571654791,1.529195249080658,0.0,0,,
20,0.5587490102929533,1.5246080946922302,0.0,0,,
21,0.5797307996832938,1.4018618607521056,0.0,0,,
22,0.6389548693586699,1.2707912564277648,0.0,0,,
23,0.6312747426761679,1.2500722813606262,0.0,0,,
24,0.6569279493269992,1.1617897725105286,0.0,0,,
25,0.6681710213776723,1.129726173877716,0.0,0,,
26,0.6838479809976247,1.0794831132888794,0.0,0,,
27,0.6862232779097387,1.0315137827396392,0.0,0,,
28,0.707125890736342,1.0148718106746673,0.0,0,,
29,0.7152019002375297,0.9669895589351654,0.0,0,,
30,0.7208234362628662,0.9657978713512421,0.0,0,,
31,0.7240696753760887,0.9199201869964599,0.0,0,,
32,0.7438638163103721,0.9010642850399018,0.0,0,,
33,0.7370546318289786,0.8831916809082031,0.0,0,,
34,0.7453681710213776,0.8550203728675843,0.0,0,,
35,0.7462391132224862,0.8370289027690887,0.0,0,,
36,0.7565320665083135,0.8215799379348755,0.0,0,,
37,0.7648456057007126,0.8024064183235169,0.0,0,,
38,0.7646080760095012,0.7869575679302215,0.0,0,,
39,0.7676167854315122,0.7652524876594543,0.0,0,,
40,0.7817893903404592,0.7495611643791199,0.0,0,,
41,0.7825019794140934,0.7509484887123108,0.0,0,,
42,0.7916072842438638,0.7008976268768311,0.0,0,,
43,0.7859857482185273,0.7218548333644867,0.0,0,,
44,0.8057798891528107,0.6905752170085907,0.0,0,,
45,0.8005542359461599,0.6847483444213868,0.0,0,,
46,0.8115597783056215,0.6551105833053589,0.0,0,,
47,0.7993665874901029,0.6762414813041687,0.0,0,,
48,0.8174980205859066,0.6487720119953155,0.0,0,,
49,0.8171021377672208,0.6437994456291198,0.0,0,,
50,0.8276326207442597,0.60003533244133,0.0,0,,
51,0.8209817893903405,0.6218399715423584,0.0,0,,
52,0.8304829770387965,0.6238452839851379,0.0,0,,
53,0.8366587490102929,0.5908752024173737,0.0,0,,
54,0.8216943784639746,0.6083920431137085,0.0,0,,
55,0.8395882818685669,0.5804746770858764,0.0,0,,
56,0.8386381631037213,0.5635774701833725,0.0,0,,
57,0.8448931116389549,0.5616333377361298,0.0,0,,
58,0.8259699129057799,0.59518479347229,0.0,0,,
59,0.8521773555027712,0.5470419615507126,0.0,0,,
60,0.8516231195566113,0.5408705413341522,0.0,0,,
61,0.8496437054631829,0.5431799030303955,0.0,0,,
62,0.8520981789390341,0.5414678525924682,0.0,0,,
