round,main_accuracy,main_loss,attack_success_rate,is_attack_active,bottleneck_distance,bottleneck_threshold
1,0.07205067300079177,3.5037633848190306,0.0,0,,
2,0.09841646872525732,3.4894468116760256,0.0,0,,
3,0.09873317498020585,3.4378379726409913,0.0,0,,
4,0.11860649247822644,3.405264220237732,0.0,0,,
5,0.15510688836104514,3.349577474594116,0.0,0,,
6,0.17965162311955662,3.2515468978881836,0.0,0,,
7,0.21971496437054633,3.117687602043152,0.0,0,,
8,0.2676167854315123,2.893946051597595,0.0,0,,
9,0.2918448139350752,2.7074335479736327,0.0,0,,
10,0.3102137767220903,2.5448872232437134,0.0,0,,
11,0.3496437054631829,2.4243636178970336,0.0,0,,
12,0.3869358669833729,2.3279750633239744,0.0,0,,
13,0.34323040380047504,2.2017288970947266,0.0,0,,
14,0.4292953285827395,2.030609407424927,0.0,0,,
15,0.4668250197941409,1.8880821323394776,0.0,0,,
16,0.48543151227236736,1.8355676531791687,0.0,0,,
17,0.5186856690419636,1.6965116262435913,0.0,0,,
18,0.534283452098179,1.6410410714149475,0.0,0,,
19,0.5676167854315123,1.532478997707367,0.0,0,,
20,0.5130641330166271,1.6758788180351258,0.0,0,,
21,0.5676959619952494,1.5078658986091613,0.0,0,,
22,0.6009501187648456,1.3565446329116821,0.0,0,,
23,0.6342042755344418,1.282266573905945,0.0,0,,
24,0.6231195566112431,1.2944752287864685,0.0,0,,
25,0.6581155977830562,1.1672267699241639,0.0,0,,
26,0.6528107680126682,1.1527545857429504,0.0,0,,
27,0.6914489311163895,1.088520073890686,0.0,0,,
28,0.6619952494061758,1.099689998626709,0.0,0,,
29,0.6320665083135392,1.1822003054618835,0.0,0,,
30,0.6796516231195566,1.078218137025833,0.0,0,,
31,0.6984956452889944,1.011719880104065,0.0,0,,
32,0.7173396674584323,0.9505526971817017,0.0,0,,
33,0.7406967537608867,0.9104100954532623,0.0,0,,
34,0.7212193190815519,0.9136517560482025,0.0,0,,
35,0.7300870942201109,0.862613501548767,0.0,0,,
36,0.7583531274742676,0.8406853079795837,0.0,0,,
37,0.7483768804433888,0.8249640655517578,0.0,0,,
38,0.7524148851939826,0.8286425876617431,0.0,0,,
39,0.7646872525732383,0.7960583078861236,0.0,0,,
40,0.7782264449722882,0.7571489632129669,0.0,0,,
41,0.7809184481393507,0.7429629528522491,0.0,0,,
42,0.7888361045130642,0.7140980088710784,0.0,0,,
43,0.7849564528899445,0.7151055312156678,0.0,0,,
44,0.7908946951702296,0.6986756825447082,0.0,0,,
45,0.791132224861441,0.6953218412399292,0.0,0,,
46,0.8144893111638954,0.6623761916160583,0.0,0,,
47,0.8048297703879652,0.6669923520088196,0.0,0,,
48,0.8272367379255741,0.6276179027557373,0.0,0,,
49,0.8187648456057007,0.6251585936546326,0.0,0,,
50,0.8254156769596199,0.6111028921604157,0.0,0,,
51,0.8220902612826604,0.6360731208324433,0.0,0,,
52,0.8281076801266825,0.6093947517871857,0.0,0,,
53,0.8348376880443389,0.6114120614528656,0.0,0,,
54,0.833729216152019,0.5946920651197434,0.0,0,,
55,0.8315914489311164,0.5836062180995941,0.0,0,,
56,0.8353919239904988,0.5903790801763534,0.0,0,,
57,0.8441805225653206,0.5651679641008377,0.0,0,,
58,0.8463974663499604,0.5532606434822083,0.0,0,,
59,0.8346001583531275,0.5613344031572342,0.0,0,,
