round,main_accuracy,main_loss,attack_success_rate,is_attack_active,bottleneck_distance,bottleneck_threshold
1,0.0684085510688836,3.5073909854888914,0.0,0,,
2,0.09065716547901821,3.4844840955734253,0.0,0,,
3,0.111243072050673,3.435625286102295,0.0,0,,
4,0.11971496437054632,3.4069865322113038,0.0,0,,
5,0.1466349960411718,3.340854134559631,0.0,0,,
6,0.18558986539984165,3.260624175071716,0.0,0,,
7,0.2536817102137767,3.114846887588501,0.0,0,,
8,0.2789390340459224,2.923555727005005,0.0,0,,
9,0.2824228028503563,2.740317931175232,0.0,0,,
10,0.3345209817893903,2.531910147666931,0.0,0,,
11,0.3518606492478226,2.44260929107666,0.0,0,,
12,0.37672209026128267,2.271216492652893,0.0,0,,
13,0.41559778305621536,2.121534550189972,0.0,0,,
14,0.4228820269200317,2.0083110880851747,0.0,0,,
15,0.4558194774346793,1.952076780796051,0.0,0,,
16,0.481076801266825,1.771717176437378,0.0,0,,
17,0.4119556611243072,1.98778470993042,0.0,0,,
18,0.5037212984956453,1.6943033862113952,0.0,0,,
19,0.4980997624703088,1.659347152709961,0.0,0,,
20,0.5320665083135392,1.547793049812317,0.0,0,,
21,0.564528899445764,1.4671558666229247,0.0,0,,
22,0.5737925574030087,1.453874158859253,0.0,0,,
23,0.6060965954077593,1.3451288723945618,0.0,0,,
24,0.6229612034837688,1.2995583271980287,0.0,0,,
25,0.6680126682501979,1.143146002292633,0.0,0,,
26,0.6855898653998417,1.0961511242389679,0.0,0,,
27,0.6980997624703088,1.0382999098300933,0.0,0,,
28,0.7133016627078385,1.0021117317676544,0.0,0,,
29,0.7060965954077593,0.9882298064231873,0.0,0,,
30,0.72541567695962,0.9631481790542602,0.0,0,,
31,0.7386381631037213,0.904531741142273,0.0,0,,
32,0.7335708630245448,0.8947979259490967,0.0,0,,
33,0.7209817893903404,0.8940421855449676,0.0,0,,
34,0.7579572446555819,0.8421626543998718,0.0,0,,
35,0.7475059382422803,0.8374500286579132,0.0,0,,
36,0.7626286619160728,0.8049181246757507,0.0,0,,
37,0.769200316706255,0.7969889175891877,0.0,0,,
38,0.7677751385589865,0.7994507360458374,0.0,0,,
39,0.7856690419635788,0.7395913088321686,0.0,0,,
40,0.7764845605700713,0.7495701313018799,0.0,0,,
41,0.7873317498020586,0.7286537909507751,0.0,0,,
42,0.7886777513855898,0.7282505416870118,0.0,0,,
43,0.7920031670625495,0.6980650973320007,0.0,0,,
44,0.8123515439429929,0.680539687871933,0.0,0,,
45,0.8102137767220903,0.6604167699813843,0.0,0,,
46,0.8091053048297704,0.6582229590415954,0.0,0,,
47,0.8123515439429929,0.6651262438297272,0.0,0,,
48,0.8155977830562153,0.6639800357818604,0.0,0,,
49,0.7989707046714173,0.6421902823448181,0.0,0,,
50,0.8181314330958036,0.6179079234600067,0.0,0,,
51,0.8273950910530483,0.61272225856781,0.0,0,,
52,0.834916864608076,0.5976814240217209,0.0,0,,
53,0.8365003958828187,0.5869461113214492,0.0,0,,
54,0.8273950910530483,0.5961888694763183,0.0,0,,
55,0.8405384006334126,0.5766410809755326,0.0,0,,
56,0.8366587490102929,0.5856996381282806,0.0,0,,
