round,main_accuracy,main_loss,attack_success_rate,is_attack_active,bottleneck_distance,bottleneck_threshold
1,0.06033254156769596,3.6259343147277834,0.0,0,,
2,0.0782264449722882,3.5702256107330324,0.0,0,,
3,0.09065716547901821,3.490699200630188,0.0,0,,
4,0.11211401425178147,3.45494206905365,0.0,0,,
5,0.16492478226444973,3.386418194770813,0.0,0,,
6,0.1262074425969913,3.3009900760650637,0.0,0,,
7,0.20197941409342834,3.180407795906067,0.0,0,,
8,0.21757719714964371,2.99147123336792,0.0,0,,
9,0.17490102929532858,3.6646142864227294,0.0,0,,
10,0.23776722090261282,3.009536204338074,0.0,0,,
11,0.23127474267616785,2.7779365015029907,0.0,0,,
12,0.32098178939034044,2.711531443595886,0.0,0,,
13,0.10324623911322249,3.7363879346847533,0.0,0,,
14,0.2920823436262866,2.7029510879516603,0.0,0,,
15,0.3352335708630245,2.3252599954605104,0.0,0,,
16,0.3825019794140934,2.1330516719818116,0.0,0,,
17,0.3604908946951702,2.1320065879821777,0.0,0,,
18,0.31417260490894694,2.213956060409546,0.0,0,,
19,0.39208234362628663,2.171041352748871,0.0,0,,
20,0.4637371338083927,1.8663158202171326,0.0,0,,
21,0.26508313539192396,2.5212842178344728,0.0,0,,
22,0.4381631037212985,1.9518678212165832,0.0,0,,
23,0.46381631037212984,1.7805741333961487,0.0,0,,
24,0.30364212193190815,3.4310833024978638,0.0,0,,
25,0.4929532858273951,1.916405680179596,0.0,0,,
26,0.4923990498812352,1.6424382138252258,0.0,0,,
27,0.3684085510688836,2.3427305459976195,0.0,0,,
28,0.5308788598574822,1.6862740516662598,0.0,0,,
29,0.4766429136975455,1.6784404611587525,0.0,0,,
30,0.32826603325415676,2.7795744943618774,0.0,0,,
31,0.5582739509105304,1.6977818989753723,0.0,0,,
32,0.5837688044338876,1.3593561792373656,0.0,0,,
33,0.6245447347585115,1.2232140684127808,0.0,0,,
34,0.6252573238321457,1.1975363659858704,0.0,0,,
35,0.6429928741092636,1.1744904613494873,0.0,0,,
36,0.5996832937450515,1.268082981109619,0.0,0,,
37,0.644972288202692,1.147021541595459,0.0,0,,
38,0.5932699920823437,1.3328410863876343,0.0,0,,
39,0.6815518606492478,1.034324781894684,0.0,0,,
40,0.6406967537608868,1.06700190782547,0.0,0,,
41,0.5885985748218527,1.2971003651618958,0.0,0,,
42,0.6376088677751386,1.1524667501449586,0.0,0,,
43,0.683452098178939,0.9911410105228424,0.0,0,,
44,0.6067300079176564,1.2400890159606934,0.0,0,,
45,0.5518606492478226,1.4062423658370973,0.0,0,,
46,0.6935866983372921,0.9807489061355591,0.0,0,,
