round,dist_full_reduced,dist_bias_delta,dist_random_subset,threshold
1,nan,nan,nan,0.02
2,0.18052923679351807,0.04586218297481537,0.013277381658554077,0.0198
3,0.21243786811828613,0.017717748880386353,0.008410215377807617,0.019602
4,0.2047421932220459,0.016748279333114624,0.005246449261903763,0.01940598
5,0.2623535990715027,0.02089482545852661,0.006443150341510773,0.0192119202
6,0.21209955215454102,0.026985712349414825,0.009052220731973648,0.019019800998
7,0.16728883981704712,0.02357316017150879,0.008387137204408646,0.01882960298802
8,0.4022102952003479,0.009074389934539795,0.008394259959459305,0.0186413069581398
9,0.49730706214904785,0.03247060626745224,0.016264766454696655,0.0184548938885584
10,0.21907055377960205,0.018140196800231934,0.00938580185174942,0.018270344949672817
11,0.23928022384643555,0.018975727260112762,0.003523319959640503,0.01808764150017609
12,0.18450617790222168,0.011509202420711517,0.0034188926219940186,0.017906765085174327
13,0.18734204769134521,0.00931096076965332,0.01267331838607788,0.017727697434322585
14,0.17129170894622803,0.007468760013580322,0.007976844906806946,0.017550420459979357
15,0.40738558769226074,0.018764890730381012,0.01112547516822815,0.017374916255379565
16,0.463336706161499,0.005559392273426056,0.013522326946258545,0.017201167092825768
17,0.4083169102668762,0.006671778857707977,0.004708442836999893,0.01702915542189751
18,0.483348548412323,0.013939566910266876,0.013055063784122467,0.016858863867678535
19,0.3067823052406311,0.0062495023012161255,0.01135062426328659,0.01669027522900175
20,0.1548454761505127,0.007211040705442429,0.019223779439926147,0.016523372476711734
21,0.4139688014984131,0.008424974977970123,0.02795838564634323,0.016358138751944615
22,0.37821343541145325,0.007228933274745941,0.00633317232131958,0.01619455736442517
23,0.19161951541900635,0.006178822368383408,0.012968897819519043,0.01603261179078092
24,0.23722875118255615,0.010266847908496857,0.01130358874797821,0.015872285672873108
25,0.34183943271636963,0.005880400538444519,0.004566200077533722,0.015713562816144375
26,0.32331764698028564,0.010698094964027405,0.014363475143909454,0.015556427187982934
27,0.20367860794067383,0.01787494122982025,0.013573125004768372,0.015400862916103103
28,0.28407859802246094,0.0092867910861969,0.017206571996212006,0.015246854286942071
29,0.18815302848815918,0.004004217684268951,0.009072408080101013,0.015094385744072653
30,0.32814544439315796,0.0031295977532863617,0.008180342614650726,0.014943441886631922
31,0.45967018604278564,0.010431136935949326,0.006924152374267578,0.014794007467765604
32,0.324279248714447,0.013437118381261826,0.01214464008808136,0.01464606739308795
33,0.321247935295105,0.018858350813388824,0.011900030076503754,0.014499606719157067
34,0.34575265645980835,0.024298597127199173,0.0074070170521736145,0.0143546106519655
35,0.5977506041526794,0.008454646915197372,0.01744319498538971,0.014211064545445842
36,0.41029345989227295,0.005751714110374451,0.011222347617149353,0.014068953899991384
37,0.6936631202697754,0.009572502225637436,0.012513235211372375,0.013928264360991469
38,0.6579760313034058,0.013883043080568314,0.019151244312524796,0.013788981717381554
39,0.5692842602729797,0.010976163670420647,0.021918371319770813,0.013651091900207739
40,0.45265984535217285,0.00761708989739418,0.019892148673534393,0.013514580981205662
41,0.5321025252342224,0.0051691047847270966,0.009287133812904358,0.013379435171393606
42,0.1739424467086792,0.00812782347202301,0.009683031588792801,0.013245640819679669
43,0.49422407150268555,0.004647120833396912,0.009777501225471497,0.013113184411482872
44,0.3494901657104492,0.01123093068599701,0.020851045846939087,0.012982052567368044
45,0.416839599609375,0.008223030716180801,0.019403286278247833,0.012852232041694363
46,0.6184960603713989,0.01291215792298317,0.013683807104825974,0.01272370972127742
47,0.45425042510032654,0.004900574684143066,0.012393534183502197,0.012596472624064645
48,0.4267343282699585,0.009696491062641144,0.01859385520219803,0.012470507897824
49,0.3366849720478058,0.007894471287727356,0.01514752209186554,0.01234580281884576
50,0.3806866407394409,0.008060969412326813,0.007969029247760773,0.0122223447906573
51,0.439458966255188,0.01111523061990738,0.006788328289985657,0.012100121342750727
52,0.5531512498855591,0.005142746493220329,0.008137881755828857,0.01197912012932322
53,0.43679797649383545,0.019277997314929962,0.022947028279304504,0.011859328928029989
54,0.6132737398147583,0.012759916484355927,0.02723928540945053,0.011740735638749689
55,0.2983591556549072,0.004371032118797302,0.01613568514585495,0.011623328282362191
56,0.2955021858215332,0.0034511126577854156,0.008118845522403717,0.01150709499953857
57,0.6566029787063599,0.008122589439153671,0.03178117424249649,0.011392024049543184
58,0.4257102310657501,0.007417868822813034,0.009776704013347626,0.01127810380904775
59,0.36688774824142456,0.003607098013162613,0.011791080236434937,0.011165322770957274
60,0.2451571226119995,0.004348203539848328,0.005354296416044235,0.011053669543247702
61,0.44610390067100525,0.004887688905000687,0.013245351612567902,0.010943132847815226
62,0.44621196389198303,0.0016900338232517242,0.007532883435487747,0.010833701519337071
63,0.38508814573287964,0.008065763860940933,0.018834955990314484,0.0107253645041437
64,0.5111714005470276,0.012857966125011444,0.020239487290382385,0.010618110859102263
65,0.44358599185943604,0.00650370866060257,0.011539362370967865,0.01051192975051124
66,0.4498952031135559,0.0031619668006896973,0.014831781387329102,0.010406810453006128
67,0.27139705419540405,0.009705625474452972,0.007409900426864624,0.010302742348476066
68,0.4351879954338074,0.009169824421405792,0.011321596801280975,0.010199714924991306
69,0.3203777074813843,0.003216329962015152,0.01259564608335495,0.010097717775741392
70,0.4595121145248413,0.013226684182882309,0.014022201299667358,0.01
71,0.49039411544799805,0.013997342437505722,0.02076137810945511,0.01
72,0.26187026500701904,0.007278434932231903,0.008454643189907074,0.01
73,0.44090330600738525,0.007312912493944168,0.022841453552246094,0.01
74,0.41218578815460205,0.010850228369235992,0.018134549260139465,0.01
75,0.3193542957305908,0.004074720665812492,0.011475931853055954,0.01
76,0.27046680450439453,0.004665926098823547,0.005169570446014404,0.01
77,0.3952765464782715,0.0168447345495224,0.008125454187393188,0.01
78,0.7012237310409546,0.026086870580911636,0.026037320494651794,0.01
79,0.6766883134841919,0.014998044818639755,0.022799663245677948,0.01
80,0.655465841293335,0.0058793798089027405,0.024740897119045258,0.01
81,0.31586432456970215,0.004423346370458603,0.010705158114433289,0.01
82,0.26732125878334045,0.010615065693855286,0.010227497667074203,0.01
83,0.28423047065734863,0.01257232204079628,0.01216743141412735,0.01
84,0.38536667823791504,0.008976180106401443,0.026929132640361786,0.01
85,0.2662292718887329,0.00704999640583992,0.021693311631679535,0.01
86,0.3019906282424927,0.003652457147836685,0.01653166115283966,0.01
87,0.2597684860229492,0.006799586117267609,0.007828883826732635,0.01
88,0.5131658315658569,0.0046228207647800446,0.014834590256214142,0.01
89,0.6075441837310791,0.007073666900396347,0.026086851954460144,0.01
90,0.22812998294830322,0.0044432133436203,0.007857609540224075,0.01
91,0.2620890140533447,0.003158900886774063,0.01117262989282608,0.01
92,0.3568427562713623,0.011536665260791779,0.017731033265590668,0.01
93,0.6046473979949951,0.018594879657030106,0.027238227427005768,0.01
94,0.5757136344909668,0.009703490883111954,0.034374840557575226,0.01
95,0.36290544271469116,0.0043729133903980255,0.009253446012735367,0.01
96,0.46504461765289307,0.0058134496212005615,0.019447408616542816,0.01
97,0.13007140159606934,0.006830688565969467,0.010329876095056534,0.01
98,0.32097744941711426,0.005740538239479065,0.014774680137634277,0.01
99,0.37083160877227783,0.00855870172381401,0.010469041764736176,0.01
100,0.25464293360710144,0.005496993660926819,0.0055747367441654205,0.01
101,0.18681776523590088,0.002646328881382942,0.008406959474086761,0.01
102,0.40018051862716675,0.005608957260847092,0.012118324637413025,0.01
103,0.35825324058532715,0.0040550194680690765,0.017997756600379944,0.01
104,0.2730379104614258,0.007471401244401932,0.012842833995819092,0.01
105,0.1804104447364807,0.007721621543169022,0.004500493407249451,0.01
106,0.30032968521118164,0.009216833859682083,0.01659669727087021,0.01
107,0.1253146529197693,0.003232855349779129,0.010406792163848877,0.01
108,0.2209634780883789,0.008358839899301529,0.010918177664279938,0.01
109,0.29192301630973816,0.006466221064329147,0.00920385867357254,0.01
110,0.44321393966674805,0.016655094921588898,0.009255710989236832,0.01
111,0.4166870713233948,0.018375158309936523,0.014202892780303955,0.01
112,0.5597463846206665,0.011894382536411285,0.021655254065990448,0.01
113,0.5677845478057861,0.012677546590566635,0.016833066940307617,0.01
114,0.23185980319976807,0.0038387607783079147,0.011509284377098083,0.01
115,0.33220478892326355,0.0075830258429050446,0.012519191950559616,0.01
116,0.3025808334350586,0.005178038030862808,0.015187621116638184,0.01
117,0.2888859510421753,0.005082147195935249,0.013701356947422028,0.01
118,1.0894341468811035,0.0096280537545681,0.04832587391138077,0.01
119,1.0319523811340332,0.009297166019678116,0.04450484365224838,0.01
120,0.3684415817260742,0.004998818039894104,0.008079469203948975,0.01
121,4.077849864959717,0.17697596549987793,0.18998216092586517,0.01
122,3.9398531913757324,0.15881487727165222,0.18547533452510834,0.01
123,1.7718501091003418,0.09387607872486115,0.10072645545005798,0.01
124,4.734138011932373,0.17678578197956085,0.25603777170181274,0.01
125,3.11997389793396,0.10112669318914413,0.14771807193756104,0.01
126,4.494269847869873,0.10341545939445496,0.22780880331993103,0.01
127,2.7867376804351807,0.07811737060546875,0.14735835790634155,0.01
128,2.5797011852264404,0.0731363594532013,0.12243032455444336,0.01
129,2.5797011852264404,0.0731363594532013,0.12243032455444336,0.01
130,0.38871318101882935,0.01210293173789978,0.013753801584243774,0.01
131,2.9845004081726074,0.10782718658447266,0.14299623668193817,0.01
132,2.769432544708252,0.09217777848243713,0.14972016215324402,0.01
133,2.7550277709960938,0.08427012711763382,0.13647466897964478,0.01
134,2.560560703277588,0.08180857449769974,0.12160959094762802,0.01
135,2.390517234802246,0.05749564617872238,0.11614300310611725,0.01
136,0.4314260482788086,0.026897326111793518,0.008350566029548645,0.01
137,2.355020046234131,0.07069145888090134,0.11451654881238937,0.01
138,2.5309340953826904,0.07286826521158218,0.12242390960454941,0.01
139,2.5309340953826904,0.07286826521158218,0.13282561302185059,0.01
140,2.5868606567382812,0.048558421432971954,0.1659311205148697,0.01
141,0.24146103858947754,0.027767740190029144,0.011969044804573059,0.01
142,2.3607964515686035,0.06137582287192345,0.11074790358543396,0.01
143,2.3531131744384766,0.06279201060533524,0.11714979261159897,0.01
144,2.2393674850463867,0.051421940326690674,0.11160196363925934,0.01
145,2.223205327987671,0.04610779136419296,0.10671426355838776,0.01
146,2.172513484954834,0.05363619327545166,0.10113445669412613,0.01
147,2.1514596939086914,0.05313151329755783,0.10200818628072739,0.01
148,2.971062183380127,0.05713707208633423,0.1410551816225052,0.01
149,2.9829745292663574,0.06703753024339676,0.13438953459262848,0.01
150,3.295168399810791,0.09473544359207153,0.14402815699577332,0.01
151,5.024744033813477,0.12551641464233398,0.22946304082870483,0.01
152,2.3512046337127686,0.06835977733135223,0.11281146854162216,0.01
153,1.9977573156356812,0.032224081456661224,0.10016343742609024,0.01
154,2.237896203994751,0.0598791278898716,0.10475658625364304,0.01
155,2.237896203994751,0.0598791278898716,0.10475658625364304,0.01
156,2.188227653503418,0.06314187496900558,0.10893481969833374,0.01
157,0.6363465785980225,0.027979426085948944,0.032078832387924194,0.01
158,2.1432013511657715,0.05028241127729416,0.08398634195327759,0.01
159,1.7328499555587769,0.04100850969552994,0.09124907851219177,0.01
160,2.9932022094726562,0.0648253932595253,0.17162379622459412,0.01
161,0.4536139965057373,0.015392526984214783,0.02169746160507202,0.01
162,1.6004340648651123,0.029107600450515747,0.07337755709886551,0.01
163,2.339968681335449,0.04480554908514023,0.09692198038101196,0.01
164,2.2938485145568848,0.01750265806913376,0.10153970122337341,0.01
165,1.9627660512924194,0.04987438768148422,0.09633788466453552,0.01
166,5.1844377517700195,0.11598281562328339,0.23380403220653534,0.01
167,5.1844377517700195,0.11598281562328339,0.23380403220653534,0.01
168,1.8956711292266846,0.047203369438648224,0.09188783913850784,0.01
169,1.8005611896514893,0.04229234904050827,0.08534611761569977,0.01
170,2.094130516052246,0.038757361471652985,0.08573144674301147,0.01
171,0.8278522491455078,0.10382051765918732,0.054096996784210205,0.01
172,3.532745122909546,0.10382051765918732,0.17293623089790344,0.01
173,0.1934075653553009,0.010218661278486252,0.003490239381790161,0.01
174,0.18899330496788025,0.005996331572532654,0.009088873863220215,0.01
175,0.25707364082336426,0.007930256426334381,0.013136189430952072,0.01
176,0.21589314937591553,0.0066428035497665405,0.008559223264455795,0.01
177,0.20582324266433716,0.0029422417283058167,0.01044461503624916,0.01
178,0.23089754581451416,0.0074296630918979645,0.0114259272813797,0.01
179,0.26814889907836914,0.006587600335478783,0.014753147959709167,0.01
180,0.22279103100299835,0.006598895415663719,0.009446198120713234,0.01
181,0.23836129903793335,0.0015801191329956055,0.005139701068401337,0.01
182,0.17820805311203003,0.004399411380290985,0.007334396243095398,0.01
183,0.27996936440467834,0.00462801568210125,0.012423094362020493,0.01
184,0.24038493633270264,0.003019643947482109,0.012143764644861221,0.01
185,0.18138444423675537,0.0033968817442655563,0.009563855826854706,0.01
186,0.29788678884506226,0.005137065425515175,0.01630382239818573,0.01
187,0.3539189398288727,0.004407566040754318,0.014057856053113937,0.01
188,0.2816005051136017,0.003632286563515663,0.008857294917106628,0.01
189,0.25610238313674927,0.010695133358240128,0.009617157280445099,0.01
190,0.26814550161361694,0.003045491874217987,0.0064573585987091064,0.01
191,0.19069820642471313,0.0026118792593479156,0.004993971437215805,0.01
192,0.23243355751037598,0.01715386100113392,0.009063586592674255,0.01
193,0.33410000801086426,0.011062059551477432,0.012539740651845932,0.01
194,0.35653483867645264,0.005734143778681755,0.015241120010614395,0.01
195,0.20621389150619507,0.004157949239015579,0.009530216455459595,0.01
196,0.29142528772354126,0.005738919600844383,0.014150753617286682,0.01
197,0.2516278922557831,0.007989956066012383,0.008548188954591751,0.01
198,0.22663500905036926,0.0042636822909116745,0.005969960242509842,0.01
199,0.22663500905036926,0.004881793633103371,0.005830027163028717,0.01
200,0.27542200684547424,0.006591320037841797,0.010319046676158905,0.01
