round,dist_full_reduced,dist_bias_delta,dist_random_subset,threshold
1,nan,nan,nan,0.02
2,0.16599255800247192,0.01237458735704422,0.007060877978801727,0.0198
3,0.10166960954666138,0.0025949180126190186,0.004050794988870621,0.019602
4,0.07871907949447632,0.001981765031814575,0.004600901156663895,0.01940598
5,0.21974867582321167,0.0011767446994781494,0.0028383582830429077,0.0192119202
6,0.39582276344299316,0.00401248037815094,0.0012670978903770447,0.019019800998
7,0.08434790372848511,0.0029684528708457947,0.005821164697408676,0.01882960298802
8,0.12376046180725098,0.004454389214515686,0.006637237966060638,0.0186413069581398
9,0.12795090675354004,0.0014623627066612244,0.006099481135606766,0.0184548938885584
10,0.19860124588012695,0.0030686967074871063,0.007375948131084442,0.018270344949672817
11,0.25503993034362793,0.0034464821219444275,0.003225274384021759,0.01808764150017609
12,0.3326718807220459,0.002106454223394394,0.007360368967056274,0.017906765085174327
13,0.28274834156036377,0.0017322637140750885,0.004345789551734924,0.017727697434322585
14,0.28028595447540283,0.0021415092051029205,0.0029770955443382263,0.017550420459979357
15,0.11656534671783447,0.0013346560299396515,0.0064270347356796265,0.017374916255379565
16,0.19998598098754883,0.003071330487728119,0.00375964492559433,0.017201167092825768
17,0.4486768841743469,0.004013102501630783,0.005741335451602936,0.01702915542189751
18,0.2514779567718506,0.005698580294847488,0.004996247589588165,0.016858863867678535
19,0.298137903213501,0.007539130747318268,0.0030456483364105225,0.01669027522900175
20,0.5606327652931213,0.0010087639093399048,0.005020596086978912,0.016523372476711734
21,0.8502734303474426,0.0008883923292160034,0.002217225730419159,0.016358138751944615
22,0.5170308351516724,0.0019813627004623413,0.0027173608541488647,0.01619455736442517
23,0.18532299995422363,0.0018843375146389008,0.007262803614139557,0.01603261179078092
24,0.35472893714904785,0.0013779457658529282,0.007098190486431122,0.015872285672873108
25,0.24422776699066162,0.0017697252333164215,0.005341529846191406,0.015713562816144375
26,0.3751692771911621,0.0013624876737594604,0.00337895005941391,0.015556427187982934
27,0.509688675403595,0.002194669097661972,0.004396997392177582,0.015400862916103103
28,0.3334822654724121,0.0024169348180294037,0.006538920104503632,0.015246854286942071
29,0.2837710380554199,0.002598866820335388,0.005666449666023254,0.015094385744072653
30,0.2715197801589966,0.002123665064573288,0.004056207835674286,0.014943441886631922
31,0.11138129234313965,0.003768276423215866,0.0019224360585212708,0.014794007467765604
32,0.48945820331573486,0.0056214891374111176,0.004679352045059204,0.01464606739308795
33,0.14618122577667236,0.0025753378868103027,0.0026005879044532776,0.014499606719157067
34,0.3462388515472412,0.0036016348749399185,0.0018545910716056824,0.0143546106519655
35,0.30377304553985596,0.0021545477211475372,0.0019169449806213379,0.014211064545445842
36,0.153100848197937,0.0020104944705963135,0.005796447396278381,0.014068953899991384
37,0.23613977432250977,0.0011564679443836212,0.0043187737464904785,0.013928264360991469
38,0.2720375061035156,0.0020522773265838623,0.0032413825392723083,0.013788981717381554
39,0.1185692548751831,0.0045115165412425995,0.00835147500038147,0.013651091900207739
40,0.20624464750289917,0.002370290458202362,0.01056613028049469,0.013514580981205662
41,0.29260754585266113,0.002307463437318802,0.00403430312871933,0.013379435171393606
42,0.2427983283996582,0.0018800720572471619,0.004711762070655823,0.013245640819679669
43,0.35785746574401855,0.0014537908136844635,0.0026815831661224365,0.013113184411482872
44,0.15219509601593018,0.0016153734177350998,0.0037163719534873962,0.012982052567368044
45,0.3535262942314148,0.003262646496295929,0.0046294257044792175,0.012852232041694363
46,0.08918559551239014,0.0030040722340345383,0.00526786595582962,0.01272370972127742
47,0.18848854303359985,0.0022139381617307663,0.004396684467792511,0.012596472624064645
48,0.20586836338043213,0.0017305165529251099,0.0041357651352882385,0.012470507897824
49,0.13866794109344482,0.0019592978060245514,0.005394399166107178,0.01234580281884576
50,0.4397156834602356,0.0016678720712661743,0.005818791687488556,0.0122223447906573
51,0.38892149925231934,0.0026559755206108093,0.021521329879760742,0.012100121342750727
52,0.34425437450408936,0.003971923142671585,0.018836379051208496,0.01197912012932322
53,0.21523427963256836,0.0026034098118543625,0.007729291915893555,0.011859328928029989
54,0.21797680854797363,0.00330522283911705,0.009904786944389343,0.011740735638749689
55,0.13216936588287354,0.005736419931054115,0.010528266429901123,0.011623328282362191
56,0.16880786418914795,0.0022179298102855682,0.006851397454738617,0.01150709499953857
57,0.2321181297302246,0.0013664830476045609,0.010449104011058807,0.011392024049543184
58,0.2042461633682251,0.002706049010157585,0.008808352053165436,0.01127810380904775
59,0.2785741090774536,0.001838546246290207,0.0066933780908584595,0.011165322770957274
60,0.32587552070617676,0.0013092458248138428,0.006646968424320221,0.011053669543247702
61,0.2739931344985962,0.0020646899938583374,0.004679247736930847,0.010943132847815226
62,0.1599462628364563,0.0020681675523519516,0.007380634546279907,0.010833701519337071
